"variable","Benchmark: NHANES 01-06","Internal: NHANES 03-04","NHANES pooled calibration","NHANES external calibration","NHIS pooled calibration","NHIS external calibration"
"Age","9.68 (8.29, 11.07)","12.02 (9.55, 14.49)","9.70 (8.34, 11.06)","8.66 (6.91, 10.41)","9.33 (8.54, 10.13)","9.21 (8.47, 9.95)"
"Female","-3.59 (-6.08, -1.11)","-6.80 (-10.98, -2.62)","-3.61 (-6.03, -1.19)","-2.09 (-5.08, 0.89)","-5.59 (-7.01, -4.18)","-5.53 (-6.77, -4.30)"
"NH Black","5.87 (2.87, 8.87)","4.75 (0.30, 9.19)","5.84 (2.98, 8.70)","6.65 (2.65, 10.65)","5.11 (3.37, 6.84)","5.12 (3.61, 6.64)"
"Hispanic","4.39 (-0.02, 8.80)","6.73 (-0.06, 13.52)","4.39 (-0.27, 9.04)","3.23 (-2.44, 8.90)","-0.66 (-3.04, 1.71)","-1.06 (-3.22, 1.11)"
"NH Other","1.83 (-5.39, 9.05)","4.30 (-7.82, 16.41)","1.84 (-4.27, 7.96)","-0.22 (-9.26, 8.82)","-2.14 (-4.67, 0.38)","-2.55 (-5.36, 0.27)"
"Physical activity","-4.23 (-10.61, 2.16)","-3.36 (-20.65, 13.94)","-4.40 (-12.73, 3.93)","-4.53 (-10.69, 1.63)","-3.78 (-14.66, 7.10)","-3.86 (-11.05, 3.33)"
"Former smoker","7.07 (3.23, 10.92)","2.38 (-3.66, 8.41)","7.16 (3.48, 10.84)","9.61 (4.65, 14.57)","3.73 (2.25, 5.21)","3.82 (2.57, 5.07)"
"Current smoker","14.51 (10.75, 18.27)","13.44 (7.26, 19.61)","14.63 (10.83, 18.42)","15.54 (10.65, 20.44)","11.78 (9.98, 13.58)","11.73 (10.25, 13.20)"
"Some-day drinker","-4.19 (-7.53, -0.85)","-7.13 (-12.24, -2.02)","-4.22 (-7.34, -1.10)","-2.89 (-7.22, 1.44)","-5.63 (-6.93, -4.33)","-5.56 (-6.68, -4.44)"
"Heavy drinker","-2.87 (-52.19, 46.46)","-2.01 (-48.64, 44.61)","-3.61 (-53.46, 46.24)","-3.77 (-75.46, 67.93)","1.92 (-15.74, 19.58)","2.99 (-21.67, 27.65)"
"Total fat","13.12 (-2.19, 28.44)","13.00 (-11.69, 37.70)","13.56 (-5.38, 32.50)","14.93 (-6.37, 36.23)","14.84 (1.86, 27.82)","14.98 (3.15, 26.82)"
