"variable","method","estimate","lower","upper"
"Age","Benchmark: NHANES 01-06",9.67958016077166,8.28709572271574,11.0720645988276
"Age","Internal: NHANES 03-04",12.0172065514304,9.54629067426909,14.4881224285918
"Age","NHANES pooled calibration",9.69835795169784,8.33844736029159,11.0582685431041
"Age","NHANES external calibration",8.66177892406937,6.91339352896153,10.4101643191772
"Age","NHIS pooled calibration",9.33452887191475,8.53869902852061,10.1303587153089
"Age","NHIS external calibration",9.21064975746613,8.47449777287613,9.94680174205613
"Female","Benchmark: NHANES 01-06",-3.59287823587404,-6.08025730747232,-1.10549916427577
"Female","Internal: NHANES 03-04",-6.79916796660001,-10.9764681682331,-2.62186776496687
"Female","NHANES pooled calibration",-3.61241523926431,-6.030619438109,-1.19421104041962
"Female","NHANES external calibration",-2.0944676068118,-5.08244848232027,0.893513268696661
"Female","NHIS pooled calibration",-5.59291740087096,-7.00960778183949,-4.17622701990244
"Female","NHIS external calibration",-5.53249390411422,-6.76528030650428,-4.29970750172417
"NH Black","Benchmark: NHANES 01-06",5.87184254822708,2.86895326548019,8.87473183097397
"NH Black","Internal: NHANES 03-04",4.74851354418188,0.302488841265925,9.19453824709784
"NH Black","NHANES pooled calibration",5.83881956956402,2.97657544955212,8.70106368957591
"NH Black","NHANES external calibration",6.64994017063513,2.64559718523517,10.6542831560351
"NH Black","NHIS pooled calibration",5.10596877858698,3.3708554246285,6.84108213254546
"NH Black","NHIS external calibration",5.12335067856114,3.61114892827538,6.6355524288469
"Hispanic","Benchmark: NHANES 01-06",4.38660067724108,-0.0248936906390723,8.79809504512124
"Hispanic","Internal: NHANES 03-04",6.73271874373043,-0.0588895007922396,13.5243269882531
"Hispanic","NHANES pooled calibration",4.38593510988995,-0.266175070692944,9.03804529047284
"Hispanic","NHANES external calibration",3.22933418731054,-2.44420390308566,8.90287227770674
"Hispanic","NHIS pooled calibration",-0.664616993527381,-3.0398413256229,1.71060733856814
"Hispanic","NHIS external calibration",-1.05647891825059,-3.22498494923743,1.11202711273624
"NH Other","Benchmark: NHANES 01-06",1.8307248049207,-5.38985677808676,9.05130638792817
"NH Other","Internal: NHANES 03-04",4.29812180619583,-7.81778202011639,16.414025632508
"NH Other","NHANES pooled calibration",1.84475667183132,-4.2664681356544,7.95598147931703
"NH Other","NHANES external calibration",-0.219685053842663,-9.25552749334796,8.81615738566264
"NH Other","NHIS pooled calibration",-2.14137418619845,-4.66562337023347,0.382874997836566
"NH Other","NHIS external calibration",-2.54581419697742,-5.36275061435436,0.271122220399527
"Physical activity","Benchmark: NHANES 01-06",-4.22550463798115,-10.6090974923893,2.15808821642698
"Physical activity","Internal: NHANES 03-04",-3.35790446698439,-20.6541083731297,13.9382994391609
"Physical activity","NHANES pooled calibration",-4.40288000390394,-12.732713943129,3.92695393532115
"Physical activity","NHANES external calibration",-4.52900215301561,-10.687312872458,1.62930856642674
"Physical activity","NHIS pooled calibration",-3.77739214934218,-14.6590383133508,7.1042540146664
"Physical activity","NHIS external calibration",-3.85863958623233,-11.0510839531916,3.33380478072694
"Former smoker","Benchmark: NHANES 01-06",7.07499921790805,3.23063837317923,10.9193600626369
"Former smoker","Internal: NHANES 03-04",2.3768064396296,-3.66127031204628,8.41488319130548
"Former smoker","NHANES pooled calibration",7.16264220171089,3.48260183334376,10.842682570078
"Former smoker","NHANES external calibration",9.6113991702489,4.64930217395927,14.5734961665385
"Former smoker","NHIS pooled calibration",3.73145706518592,2.25465564821353,5.20825848215831
"Former smoker","NHIS external calibration",3.82432914386345,2.57482593878793,5.07383234893897
"Current smoker","Benchmark: NHANES 01-06",14.5129733117189,10.7546373421091,18.2713092813288
"Current smoker","Internal: NHANES 03-04",13.4350293261896,7.26126306491073,19.6087955874684
"Current smoker","NHANES pooled calibration",14.6265508467787,10.832178099459,18.4209235940984
"Current smoker","NHANES external calibration",15.5449985409576,10.6542244390285,20.4357726428867
"Current smoker","NHIS pooled calibration",11.7782681860112,9.97938488047821,13.5771514915442
"Current smoker","NHIS external calibration",11.7254742530665,10.2547749424534,13.1961735636796
"Some-day drinker","Benchmark: NHANES 01-06",-4.18671306815011,-7.5283483990724,-0.845077737227821
