"","NHANES","NHANES_EXT","NHIS","NHANES_COMBINE","NHIS_COMBINE","Dev_NHANES_EXT","Dev_NHIS","Dev_NHANES_COMBINE","Dev_NHIS_COMBINE","p_NHANES","p_NHANES_EXT","p_NHIS","p_NHANES_COMBINED","p_NHIS_COMBINED","Sig_NHANES","Sig_NHANES_EXT","Sig_NHIS","Sig_NHANES_COMBINED","Sig_NHIS_COMBINED","Model"
"(Intercept)...1",-2.893,-2.969,-3.011,-2.944,-3.007,-0.077,-0.119,-0.052,-0.115,0.001,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m1"
"slfBMI...2",0.007,0.01,0.023,0.009,0.022,0.003,0.015,0.002,0.015,0.766,0.526,0,0.49,0,"No","No","Yes","No","Yes","m1"
"(Intercept)...3",-8.899,-7.419,-7.706,-7.912,-7.762,1.481,1.193,0.987,1.137,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m2"
"slfBMI...4",0.011,0.01,0.017,0.01,0.017,-0.001,0.007,-0.001,0.006,0.671,0.576,0.002,0.488,0.002,"No","No","Yes","No","Yes","m2"
"RIDAGEYR...5",0.108,0.083,0.088,0.091,0.089,-0.025,-0.019,-0.017,-0.018,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m2"
"(Intercept)...6",-10.727,-10.241,-10.338,-10.395,-10.362,0.486,0.39,0.333,0.366,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m3"
"slfBMI...7",0.012,0.011,0.019,0.011,0.018,-0.001,0.007,-0.001,0.007,0.65,0.55,0.001,0.458,0.001,"No","No","Yes","No","Yes","m3"
"RIDAGEYR...8",0.108,0.084,0.089,0.092,0.09,-0.024,-0.019,-0.016,-0.018,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m3"
"height...9",0.01,0.016,0.015,0.014,0.015,0.006,0.004,0.004,0.004,0.326,0.029,0,0.017,0,"No","Yes","Yes","Yes","Yes","m3"
"(Intercept)...10",-5.255,-10.289,-6.724,-8.459,-6.649,-5.034,-1.469,-3.204,-1.394,0.088,0,0,0,0,"No","Yes","Yes","Yes","Yes","m4"
"slfBMI...11",0.01,0.011,0.015,0.01,0.015,0.001,0.006,0,0.005,0.717,0.548,0.01,0.512,0.01,"No","No","Yes","No","Yes","m4"
"RIDAGEYR...12",0.11,0.084,0.089,0.092,0.09,-0.026,-0.021,-0.017,-0.02,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m4"
"height...13",-0.019,0.016,-0.004,0.004,-0.005,0.036,0.015,0.023,0.015,0.208,0.077,0.298,0.622,0.206,"No","No","No","No","No","m4"
"RIAGENDRFemale...14",-0.856,0.007,-0.508,-0.292,-0.525,0.863,0.348,0.564,0.331,0.019,0.967,0,0.073,0,"Yes","No","Yes","No","Yes","m4"
"(Intercept)...15",-6.801,-11.053,-6.021,-9.5,-6.026,-4.252,0.78,-2.699,0.774,0.036,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m5"
"slfBMI...16",0.008,0.009,0.012,0.008,0.011,0.001,0.003,0,0.003,0.729,0.596,0.051,0.564,0.052,"No","No","No","No","No","m5"
"RIDAGEYR...17",0.112,0.085,0.089,0.094,0.09,-0.026,-0.022,-0.018,-0.021,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m5"
"height...18",-0.012,0.02,-0.008,0.009,-0.008,0.032,0.004,0.021,0.004,0.412,0.036,0.059,0.248,0.041,"No","Yes","No","No","Yes","m5"
"RIAGENDRFemale...19",-0.762,0.048,-0.577,-0.234,-0.588,0.81,0.185,0.528,0.175,0.031,0.781,0,0.135,0,"Yes","No","Yes","No","Yes","m5"
"as.factor(race4)NH-Black...20",0.535,0.672,0.555,0.622,0.555,0.137,0.02,0.087,0.02,0.057,0.003,0,0,0,"No","Yes","Yes","Yes","Yes","m5"
"as.factor(race4)Hispanic...21",0.54,0.35,-0.229,0.415,-0.19,-0.19,-0.769,-0.125,-0.73,0.16,0.211,0.028,0.067,0.058,"No","No","Yes","No","No","m5"
"as.factor(race4)NH-Other...22",0.405,0.11,-0.301,0.237,-0.259,-0.295,-0.706,-0.168,-0.664,0.508,0.824,0.043,0.528,0.076,"No","No","Yes","No","No","m5"
"(Intercept)...23",-6.774,-10.922,-5.993,-9.41,-6.002,-4.148,0.781,-2.636,0.772,0.041,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m6"
"slfBMI...24",0.008,0.006,0.01,0.006,0.01,-0.002,0.002,-0.002,0.001,0.739,0.715,0.103,0.674,0.103,"No","No","No","No","No","m6"
"RIDAGEYR...25",0.111,0.085,0.089,0.093,0.09,-0.026,-0.022,-0.018,-0.021,0,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m6"
"height...26",-0.011,0.02,-0.007,0.009,-0.007,0.032,0.004,0.021,0.004,0.432,0.029,0.091,0.208,0.067,"No","Yes","No","No","No","m6"
"RIAGENDRFemale...27",-0.77,0.018,-0.585,-0.255,-0.595,0.788,0.185,0.515,0.175,0.032,0.916,0,0.103,0,"Yes","No","Yes","No","Yes","m6"
