"","Gold.beta","Gold.var","NHANES.ext.beta","NHANES.ext.beta.var","NHANES05.beta","NHANES05.beta.beta.var","calib.NHANES.beta","calib.NHANES.var","Combined.NHANES.beta","Combined.NHANES.beta.var","M-Based.NHANES.beta","M-Based.NHANES.beta.var","calib.NHIS.beta","calib.NHIS.var","Combined.NHIS.beta","Combined.NHIS.beta.var","M-Based.NHIS.beta","M-Based.NHIS.beta.var"
"(Intercept)",-8.75746474601725,0.225898372722323,-8.38282070470059,0.296950434844985,-9.72477334475014,1.00816193350728,-8.78703156962247,0.264431138235684,-8.78703156954361,0.264176513401919,-8.45565591528229,0.324448463328102,-7.94315737478596,0.104622047228593,-7.94315737478465,0.10460067497139,-7.86536912732794,0.0814593318399774
"RIDAGEYR",0.0967958016077165,5.04740969967699e-05,0.0859497616224542,7.64854419170259e-05,0.120172065514304,0.000158929229279676,0.0969835795169784,4.81402753180675e-05,0.0969835795161416,4.81891703829115e-05,0.0866177892406937,7.95723524007293e-05,0.0933452887191475,1.64864936390242e-05,0.0933452887191308,1.64818918501101e-05,0.0921064975746613,1.41066155876665e-05
"RIAGENDRFemale",-0.359287823587404,0.0161054108856338,-0.198432439652091,0.022795024853752,-0.679916796660001,0.0454233573890156,-0.361241523926431,0.0152220729573878,-0.361241523924934,0.0152231801955574,-0.20944676068118,0.0232403938786035,-0.559291740087096,0.0052244159608724,-0.559291740087024,0.00522318208943133,-0.553249390411422,0.00395606599832835
"as.factor(race4)NH-Black",0.587184254822708,0.023472886413047,0.671825661584958,0.0404236098637585,0.474851354418188,0.0514554759968214,0.583881956956402,0.0213255971536408,0.583881956953268,0.0213590205531742,0.664994017063513,0.0417398030631035,0.510596877858698,0.00783688658653958,0.510596877858631,0.0078346917366576,0.512335067856114,0.00595260863589992
"as.factor(race4)Hispanic",0.438660067724108,0.0506593152796708,0.305763734882902,0.0794060093258807,0.673271874373043,0.120069613044222,0.438593510988995,0.0563362378495497,0.438593510989232,0.0563228309815777,0.322933418731054,0.083790697790443,-0.0664616993527381,0.0146857836000067,-0.0664616993525517,0.0146818350538754,-0.105647891825059,0.0122407809413429
"as.factor(race4)NH-Other",0.18307248049207,0.135716364006837,-0.024896513692876,0.214243261765497,0.429812180619583,0.382119756165262,0.184475667183132,0.097217483984873,0.184475667176983,0.096942545588646,-0.0219685053842663,0.21253240470524,-0.214137418619845,0.0165864065574278,-0.214137418619841,0.0165823151812615,-0.254581419697742,0.0206557964898596
"phys.all",-0.0422550463798115,0.00106076264397258,-0.0437615280115213,0.00107407267348752,-0.0335790446698439,0.00778734562585786,-0.0440288000390394,0.00180617798456544,-0.0440288000370977,0.00180348025473902,-0.0452900215301561,0.000987213424541819,-0.0377739214934218,0.00308231526548008,-0.037773921493368,0.00308144022795948,-0.0385863958623233,0.0013466070379999
"as.factor(smk3)1",0.707499921790805,0.0384712367359539,0.955075635626877,0.0612623094537615,0.23768064396296,0.0949041307245126,0.716264220171089,0.035252751751384,0.716264220146358,0.0352557360628249,0.96113991702489,0.0640941446287656,0.373145706518592,0.00567717207718573,0.37314570651842,0.00567561609058515,0.382432914386345,0.00406408334937004
"as.factor(smk3)2",1.45129733117189,0.0367687662964997,1.54184869427326,0.0586742254629459,1.34350293261896,0.0992174871118933,1.46265508467787,0.0374772608954668,1.46265508464864,0.0374617552772396,1.55449985409576,0.062264867024417,1.17782681860112,0.00842352443493661,1.17782681860084,0.00842136160858602,1.17254742530665,0.00563035313993604
"as.factor(hvy.drk)1",-0.418671306815011,0.0290673851646921,-0.280703536932885,0.046927887364199,-0.71314755874308,0.0679791986599289,-0.422290774887224,0.0253507146990418,-0.422290774883413,0.0253713930528255,-0.2887325740092,0.0488505490373356,-0.563105847850407,0.00441474737046669,-0.563105847850308,0.00441352757347476,-0.555910808456996,0.00324295633680956
"as.factor(hvy.drk)2",-0.0286670874512401,0.0633336877817947,-0.0273918000255226,0.127316737334099,-0.0201383477649609,0.0565859637700783,-0.0361286029807692,0.0646836306956578,-0.0361286029795291,0.0648868679299454,-0.0376834990260858,0.13380435155126,0.0191852225675772,0.00812008412687652,0.019185222567561,0.00811783010020892,0.0298847054612496,0.0158332182772348
"DXDTOFAT",1.31225263477641e-05,6.10515212131405e-11,1.37541479445976e-05,9.09831201022415e-11,1.30026326333383e-05,1.58752905067831e-10,1.35638701041834e-05,9.33886826688215e-11,1.3563870104011e-05,9.34311919340148e-11,1.49315829648704e-05,1.18081803988471e-10,1.48375461255573e-05,4.38636803389105e-11,1.48375461255513e-05,4.38592881020759e-11,1.49838978017832e-05,3.6442529221944e-11
