"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",-3.39859231462861,1.06953498719834,0.531914407699493,NA,NA
"s1.wt.f",-3.5163590088343,1.001532949724,0.489916927399748,0.48869189505875,0.198981050618039
"s1.wt.m1",-3.37251574995636,1.06997638777548,0.501537448549802,0.314754196417383,0.12685604255049
"s1.wt.m2",-3.32411896403147,1.09518786584214,0.515445095980591,0.166205961602115,0.0698333287086594
"s2.wt.r",-3.40249271905977,1.07330102595479,0.539438333051109,NA,NA
"s2.wt.f",-3.52456192336028,1.00612413378957,0.497676100583867,0.492160010812574,0.202794727949047
"s2.wt.m1",-3.37852480437094,1.07394659013749,0.509036114947496,0.317914233586964,0.132393179038105
"s2.wt.m2",-3.32802167176258,1.09996052436247,0.522747882943193,0.169356384849176,0.0745499655799155
"s1.cwt.i.r",-3.51150708687264,1.00145478229476,0.492874340599824,0.488505876321435,0.199539634428328
"s1.cwt.i.f",-3.50850722967862,1.00179388011001,0.492464167465714,0.489390590016761,0.198198432674817
"s1.cwt.i.m1",-3.5083248261594,1.00055705395238,0.492553628704438,0.487940197385104,0.200137357303657
"s1.cwt.i.m2",-3.50743095094408,1.00035242949528,0.492854889074985,0.48422413401145,0.201267576133291
"s1.cwts.r",-3.52033828900694,1.00475301726479,0.49753285538061,0.48843197030419,0.200089791418219
"s1.cwts.f",-3.52421478194362,1.0060434751317,0.497651245995247,0.492164663241892,0.20255863279967
"s1.cwts.m1",-3.52167360894847,1.0033943471649,0.497794719567741,0.488917697792204,0.205507997195889
"s1.cwts.m2",-3.51706056714259,1.00281747977393,0.498356275501,0.480968008683833,0.206395719657107
