"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.0213428683594019,0.0366294259424105,0.00944306940586423,NA,NA
"s1.wt.f",0.0262657878080939,0.0486515168063495,0.00991233621523292,0.0195497090632761,0.0417097090905543
"s1.wt.m1",0.0222419095003521,0.0390801005307666,0.00983071058398895,0.0111451587949614,0.0229055801916775
"s1.wt.m2",0.0222573700916585,0.0382746275103618,0.00965938723499439,0.00679515660276602,0.0140695917027147
"s2.wt.r",0.0216030212462013,0.0373310129476192,0.00951664052743754,NA,NA
"s2.wt.f",0.0265190679646381,0.0493668576184274,0.00999663050174803,0.0200530896040358,0.0415705936469826
"s2.wt.m1",0.0225365176167783,0.0398939840038215,0.00991377085561791,0.0113371492102365,0.0224449157348941
"s2.wt.m2",0.0226283242122716,0.0390433961843444,0.00973716577948213,0.00687449258353645,0.0137130433055781
"s1.cwt.i.r",0.015478373955284,0.0302861008792406,0.00518611497443636,0.0195465784688823,0.0416670762586777
"s1.cwt.i.f",0.013037186499795,0.0242490565551498,0.00501803387089944,0.0100618239818894,0.0210727163162551
"s1.cwt.i.m1",0.0135637515229998,0.0256274578879858,0.00505185481784965,0.0124723557612502,0.0261606984710114
"s1.cwt.i.m2",0.014177852039962,0.0271837939163251,0.00509657197622386,0.0153068932136925,0.0321879262362369
"s1.cwts.r",0.0265587220708117,0.0495434660914449,0.0101282342675014,0.0198613968722477,0.0421793259931257
"s1.cwts.f",0.0266885386590414,0.0498786668420323,0.0102272714428227,0.0205038745061128,0.0428836881689711
"s1.cwts.m1",0.0264585850391505,0.0493780672898105,0.0102172246335605,0.0207189912564448,0.0425172654508501
"s1.cwts.m2",0.026315184608747,0.049205624491682,0.0101865307364719,0.0213395544001529,0.0436259776461759
