"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.883,0.938,0.938,NA,NA
"s1.wt.f",0.948,0.955,0.947,0.952,0.938
"s1.wt.m1",0.852,0.939,0.949,0.607,0.919
"s1.wt.m2",0.781,0.93,0.943,0.027,0.803
"s2.wt.r",0.493,0.825,0.695,NA,NA
"s2.wt.f",0.94,0.946,0.956,0.969,0.954
"s2.wt.m1",0.243,0.823,0.939,0.001,0.698
"s2.wt.m2",0.038,0.722,0.87,0,0.076
"s1.cwt.i.r",0.951,0.943,0.942,0.95,0.935
"s1.cwt.i.f",0.933,0.947,0.959,0.971,0.953
"s1.cwt.i.m1",0.952,0.948,0.945,0.948,0.956
"s1.cwt.i.m2",0.95,0.935,0.943,0.946,0.944
"s1.cwts.r",0.951,0.943,0.941,0.95,0.936
"s1.cwts.f",0.94,0.949,0.956,0.969,0.957
"s1.cwts.m1",0.957,0.956,0.951,0.947,0.952
"s1.cwts.m2",0.959,0.947,0.949,0.944,0.939
