"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.963846344081776,0.960535619923243,1.03417139040983,NA,NA
"s1.wt.f",0.978278308877138,0.936519984364013,1.03503415781776,1.04877750811125,0.979567425673782
"s1.wt.m1",0.976498079791827,0.963685612007093,1.03533077748503,1.0284104732939,0.974224364599571
"s1.wt.m2",0.970281958000952,0.967024307789507,1.03681675532206,1.02433764866091,0.963635088348136
"s2.wt.r",0.975104884717948,0.967056731272431,1.00239581303646,NA,NA
"s2.wt.f",1.00433586842268,0.977466571086127,1.02497326011252,1.10878629100766,1.0993258376145
"s2.wt.m1",0.977647930829854,0.956838680912061,1.02354031244501,1.0901305371026,1.10777412518809
"s2.wt.m2",0.980183174975076,0.965315582747971,1.01707451508024,1.06287872634879,1.08786394507345
"s1.cwt.i.r",1.01810379825883,0.959003571309405,0.982397277274464,1.04147408596764,0.972437381185919
"s1.cwt.i.f",0.994594830959041,0.985959163462231,1.06601468212768,1.1792364100096,1.13073123758194
"s1.cwt.i.m1",1.02796339894239,1.00129596856202,1.04116550820316,1.08854439102778,0.982425498679101
"s1.cwt.i.m2",1.02246897964868,0.983401843540028,1.01380860775171,1.03867212878831,0.955720235612385
"s1.cwts.r",1.02280682535697,0.96908147449188,0.964263926054626,1.04165990355353,0.97239113557684
"s1.cwts.f",1.00810258681424,0.983138424549523,1.03731155372102,1.12204059476934,1.11809012954819
"s1.cwts.m1",1.05444929756391,1.02012307683436,1.01564593164128,1.08680757652619,0.981548267658827
"s1.cwts.m2",1.04508852881334,1.00205705023648,0.993013863222812,1.0386085249738,0.95344995357803
