"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.022143434470081,0.0381343754283027,0.00913104877337797,NA,NA
"s1.wt.f",0.0268489933485713,0.0519492564159093,0.00957682037869341,0.018640473229144,0.0425797224339762
"s1.wt.m1",0.0227772178569913,0.0405527487842986,0.00949523649617483,0.0108372669127576,0.0235116067961328
"s1.wt.m2",0.0229390744701827,0.0395797987724349,0.0093163880554708,0.00663370775412694,0.0146005390140294
"s2.wt.r",0.00714111471864283,0.0118429342591559,0.00298182147266998,NA,NA
"s2.wt.f",0.00901131741639086,0.0159894905286173,0.00306177990006903,0.00674043143518948,0.0142645303469041
"s2.wt.m1",0.00732472090999013,0.0123254603941848,0.00302253215081201,0.0040192844240121,0.00809244139720901
"s2.wt.m2",0.00721417601373991,0.0121325736471105,0.00297713899293392,0.00253287435074095,0.00507496624578937
"s1.cwt.i.r",0.0100022739385922,0.0207590279576497,0.00261315881336057,0.0187977909423088,0.0427595027391529
"s1.cwt.i.f",0.0068349734636009,0.0115313915300299,0.00229556994993487,0.00491149902640499,0.0106872003241859
"s1.cwt.i.m1",0.00751357304966045,0.0137946789283519,0.00235880452422321,0.0084416490757765,0.019051115494322
"s1.cwt.i.m2",0.00838647179930987,0.0162353902199584,0.00244235611730724,0.0128160634729644,0.028610261385422
"s1.cwts.r",0.0115850245878729,0.023253017559949,0.00336037862081966,0.0188921416546389,0.0429085104104996
"s1.cwts.f",0.00899313146008178,0.0159754061104501,0.00306035296387706,0.00671404499804849,0.0142356113477073
"s1.cwts.m1",0.00933348666941346,0.017481639177203,0.00312030449133817,0.00980796910027385,0.0220187837810868
"s1.cwts.m2",0.010056342667955,0.0194790441439736,0.00319142063316969,0.0140339804366307,0.031210374800018
