"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.883,0.938,0.938,NA,NA
"s1.wt.f",0.948,0.955,0.947,0.952,0.938
"s1.wt.m1",0.852,0.939,0.949,0.607,0.919
"s1.wt.m2",0.781,0.93,0.943,0.027,0.803
"s2.wt.r",0.817,0.921,0.878,NA,NA
"s2.wt.f",0.942,0.943,0.957,0.948,0.944
"s2.wt.m1",0.705,0.918,0.947,0.199,0.867
"s2.wt.m2",0.494,0.882,0.937,0,0.55
"s1.cwt.i.r",0.947,0.963,0.96,0.951,0.938
"s1.cwt.i.f",0.937,0.959,0.956,0.95,0.947
"s1.cwt.i.m1",0.941,0.943,0.957,0.953,0.948
"s1.cwt.i.m2",0.941,0.951,0.958,0.952,0.939
"s1.cwts.r",0.941,0.949,0.952,0.952,0.939
"s1.cwts.f",0.946,0.949,0.958,0.95,0.949
"s1.cwts.m1",0.937,0.947,0.956,0.949,0.944
"s1.cwts.m2",0.946,0.95,0.954,0.948,0.941
