"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.963846344081776,0.960535619923243,1.03417139040983,NA,NA
"s1.wt.f",0.978278308877138,0.936519984364013,1.03503415781776,1.04877750811125,0.979567425673782
"s1.wt.m1",0.976498079791827,0.963685612007093,1.03533077748503,1.0284104732939,0.974224364599571
"s1.wt.m2",0.970281958000952,0.967024307789507,1.03681675532206,1.02433764866091,0.963635088348136
"s2.wt.r",0.992223011551492,1.02725917429443,1.0434550687782,NA,NA
"s2.wt.f",0.960185957270472,0.996457528736011,1.06292630867048,0.98958008592373,0.962670352091349
"s2.wt.m1",0.997064133291624,1.04107861742578,1.06708856255745,0.940049395385196,0.926229832694062
"s2.wt.m2",1.00969953889171,1.02866341867423,1.06418073530991,0.924806188679372,0.920019235439512
"s1.cwt.i.r",1.00769110262249,1.00984704424067,1.05874244978274,1.03849822112644,0.973604216166423
"s1.cwt.i.f",0.952265628775891,1.04414508541979,1.08846438509228,1.04198132625095,0.990131942162574
"s1.cwt.i.m1",0.971871995613096,1.02246185372036,1.08033504658422,1.03212589346985,0.960195187223078
"s1.cwt.i.m2",0.977544352917794,1.00730150280714,1.07282738748285,1.01361626664353,0.953714974938124
"s1.cwts.r",1.02271149572942,1.03247505514804,1.05382755756623,1.03814743177087,0.97375794549606
"s1.cwts.f",0.966238717651643,1.00435740570066,1.0792065815886,1.00734343975195,0.984216721565569
"s1.cwts.m1",1.00222309343845,1.0191952122721,1.07290836222788,1.02576340166943,0.951019831680402
"s1.cwts.m2",1.00932294696607,1.01875827546282,1.06913150511854,1.00715715800048,0.942376069215483
